naziv,leto,ocena,dodatno1,dodatno2
film,The Matrix Resurrections,2021,5.7,Keanu Reeves|Carrie-Anne Moss|Yahya Abdul-Mateen II,Lana Wachowski
serija,Breaking Bad,2008-2013,9.5,5,6
